# max-cut SDP  problem=data/G55mc.sdp n=5000 m=5000 F0_nnz=17467  mode=baseline16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=2.094541e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
     1  1.3443e-01  4.9342e-01  4.4558e-01  4.9342e-01  -1.95510340e+04  -7.49800000e+03    112.78      0.113  0  0.000e+00  0.000e+00
     2  3.9003e-01  2.2535e-01  3.0736e-01  3.9003e-01  -2.57905366e+04  -1.36636211e+04     17.08      0.130  0  0.000e+00  0.000e+00
     3  3.8405e-01  1.4015e-01  2.2731e-01  3.8405e-01  -2.66268318e+04  -1.67634003e+04     17.03      0.147  0  0.000e+00  0.000e+00
     4  2.9144e-01  1.1387e-01  1.5453e-01  2.9144e-01  -2.53918384e+04  -1.85944037e+04     17.06      0.164  0  0.000e+00  0.000e+00
     5  1.8863e-01  9.8950e-02  9.5813e-02  1.8863e-01  -2.36858402e+04  -1.95437756e+04     17.06      0.181  0  0.000e+00  0.000e+00
     6  1.0508e-01  8.3217e-02  5.3390e-02  1.0508e-01  -2.21856829e+04  -1.99366948e+04     17.03      0.198  0  0.000e+00  0.000e+00
     7  4.8218e-02  6.7818e-02  2.6785e-02  6.7818e-02  -2.11122042e+04  -2.00107163e+04     17.01      0.215  0  0.000e+00  0.000e+00
     8  1.7997e-02  5.5425e-02  1.3526e-02  5.5425e-02  -2.04743085e+04  -1.99278046e+04     16.99      0.232  0  0.000e+00  0.000e+00
     9  1.3734e-02  4.6984e-02  1.0188e-02  4.6984e-02  -2.02004493e+04  -1.97929813e+04     16.99      0.249  0  0.000e+00  0.000e+00
    10  1.3754e-02  4.2075e-02  1.3054e-02  4.2075e-02  -2.01932850e+04  -1.96728509e+04     17.03      0.266  0  0.000e+00  0.000e+00
    11  9.0442e-03  3.9389e-02  1.8707e-02  3.9389e-02  -2.03516967e+04  -1.96042081e+04     17.43      0.283  0  0.000e+00  0.000e+00
    12  5.6185e-03  3.7556e-02  2.4628e-02  3.7556e-02  -2.05887849e+04  -1.95990271e+04     17.45      0.301  0  0.000e+00  0.000e+00
    13  1.1685e-02  3.5809e-02  2.9206e-02  3.5809e-02  -2.08360198e+04  -1.96534432e+04     17.48      0.318  0  0.000e+00  0.000e+00
    14  1.8441e-02  3.3993e-02  3.1703e-02  3.3993e-02  -2.10467071e+04  -1.97532123e+04     17.41      0.336  0  0.000e+00  0.000e+00
    15  2.2848e-02  3.2212e-02  3.2063e-02  3.2212e-02  -2.11964633e+04  -1.98794164e+04     17.19      0.353  0  0.000e+00  0.000e+00
    16  2.4496e-02  3.0591e-02  3.0670e-02  3.0670e-02  -2.12796450e+04  -2.00131494e+04     17.32      0.370  0  0.000e+00  0.000e+00
    17  2.3595e-02  2.9247e-02  2.8042e-02  2.9247e-02  -2.13017700e+04  -2.01396221e+04     17.34      0.388  0  0.000e+00  0.000e+00
    18  2.0861e-02  2.8071e-02  2.4833e-02  2.8071e-02  -2.12787715e+04  -2.02475135e+04     17.28      0.405  0  0.000e+00  0.000e+00
    19  1.7087e-02  2.7010e-02  2.1565e-02  2.7010e-02  -2.12281287e+04  -2.03318512e+04     17.12      0.422  0  0.000e+00  0.000e+00
    20  1.3025e-02  2.6004e-02  1.8652e-02  2.6004e-02  -2.11668234e+04  -2.03916643e+04     17.04      0.439  0  0.000e+00  0.000e+00
    25  2.7366e-03  2.1734e-02  1.3867e-02  2.1734e-02  -2.10413938e+04  -2.04657822e+04     17.38      0.525  0  0.000e+00  0.000e+00
    50  3.1122e-03  1.3236e-02  1.1100e-02  1.3236e-02  -2.13694086e+04  -2.09001943e+04     17.15      1.523  0  0.000e+00  0.000e+00
    75  1.9282e-03  9.9836e-03  8.5355e-03  9.9836e-03  -2.14775856e+04  -2.11140348e+04     17.61      1.958  0  0.000e+00  0.000e+00
   100  1.5957e-03  8.2218e-03  7.3432e-03  8.2218e-03  -2.15509365e+04  -2.12367299e+04     18.63      2.400  0  0.000e+00  0.000e+00
   125  1.5220e-03  7.0587e-03  6.5228e-03  7.0587e-03  -2.16068559e+04  -2.13267996e+04     18.48      2.839  0  0.000e+00  0.000e+00
   150  1.4581e-03  6.2591e-03  6.0418e-03  6.2591e-03  -2.16488777e+04  -2.13888445e+04     17.43      3.287  0  0.000e+00  0.000e+00
   175  1.3996e-03  5.6537e-03  5.6835e-03  5.6835e-03  -2.16848478e+04  -2.14397433e+04     17.99      3.736  0  0.000e+00  0.000e+00
   200  1.3890e-03  5.1983e-03  5.2943e-03  5.2943e-03  -2.17096933e+04  -2.14810246e+04     17.90      4.173  0  0.000e+00  0.000e+00
   225  1.3296e-03  4.8334e-03  4.9647e-03  4.9647e-03  -2.17304829e+04  -2.15157730e+04     17.44      4.613  0  0.000e+00  0.000e+00
   250  1.3772e-03  4.5087e-03  4.6566e-03  4.6566e-03  -2.17516072e+04  -2.15499641e+04     18.00      5.050  0  0.000e+00  0.000e+00
