# min-bisection SDP  problem=data/G60_mb.sdp n=7000 m=7001 F0_nnz=24105  mode=baseline16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=1.213724e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
     1  1.5679e+01  7.8131e-01  4.1240e-01  1.5679e+01  +6.47982195e+03  +1.55762252e+04    100.78      0.101  0  0.000e+00  0.000e+00
     2  2.6562e+01  2.9866e-01  1.6002e-01  2.6562e+01  +6.18607036e+03  +8.54313383e+03     37.34      0.138  0  0.000e+00  0.000e+00
     3  2.4529e+01  2.1026e-01  9.8703e-02  2.4529e+01  +5.76327755e+03  +7.02567971e+03     37.61      0.176  0  0.000e+00  0.000e+00
     4  1.9893e+01  1.6197e-01  4.5799e-02  1.9893e+01  +5.17084690e+03  +5.66727143e+03     38.69      0.214  0  0.000e+00  0.000e+00
     5  1.5910e+01  1.3549e-01  2.6274e-02  1.5910e+01  +4.64651756e+03  +4.89729590e+03     38.26      0.253  0  0.000e+00  0.000e+00
     6  1.2945e+01  1.1556e-01  3.0921e-02  1.2945e+01  +4.24656052e+03  +4.51758324e+03     39.06      0.292  0  0.000e+00  0.000e+00
     7  1.0774e+01  9.9371e-02  4.8444e-02  1.0774e+01  +3.96367006e+03  +4.36730727e+03     38.89      0.331  0  0.000e+00  0.000e+00
     8  9.1627e+00  8.6873e-02  6.8381e-02  9.1627e+00  +3.77239777e+03  +4.32625730e+03     39.10      0.370  0  0.000e+00  0.000e+00
     9  7.9564e+00  7.7926e-02  8.4032e-02  7.9564e+00  +3.64526133e+03  +4.31419261e+03     38.68      0.408  0  0.000e+00  0.000e+00
    10  7.0481e+00  7.1567e-02  9.3051e-02  7.0481e+00  +3.55872091e+03  +4.28906178e+03     38.66      0.447  0  0.000e+00  0.000e+00
    11  6.3571e+00  6.6695e-02  9.5903e-02  6.3571e+00  +3.49494682e+03  +4.23651308e+03     38.09      0.485  0  0.000e+00  0.000e+00
    12  5.8104e+00  6.2618e-02  9.4332e-02  5.8104e+00  +3.44228185e+03  +4.15946180e+03     38.87      0.524  0  0.000e+00  0.000e+00
    13  5.3626e+00  5.9048e-02  9.0335e-02  5.3626e+00  +3.39407765e+03  +4.06828230e+03     39.47      0.563  0  0.000e+00  0.000e+00
    14  4.9769e+00  5.5877e-02  8.5644e-02  4.9769e+00  +3.34724877e+03  +3.97438656e+03     38.83      0.602  0  0.000e+00  0.000e+00
    15  4.6459e+00  5.3045e-02  8.1480e-02  4.6459e+00  +3.30129764e+03  +3.88708722e+03     38.57      0.641  0  0.000e+00  0.000e+00
