# min-bisection SDP  problem=/n/home08/haoransun/spectra_deflation/defadmm/data/G60_mb.sdp n=7000 m=7001 F0_nnz=24105  mode=deflated16 sigma=1 eta_tol=0 window=0.025 gamma=1.1 symmetrize=1  ||C||_F=1.213724e+02
# iter  pinf        dinf        gap         eta         obj_primal      obj_dual        proj_ms  cum_proj_s  deflated  eps_sym_raw  eps_sym_used
     1  1.5679e+01  7.8131e-01  4.1240e-01  1.5679e+01  +6.47982195e+03  +1.55762252e+04    508.06      0.508  0  0.000e+00  0.000e+00
     2  2.6562e+01  2.9866e-01  1.6002e-01  2.6562e+01  +6.18607036e+03  +8.54313383e+03     42.15      0.550  0  0.000e+00  0.000e+00
     3  2.4529e+01  2.1026e-01  9.8703e-02  2.4529e+01  +5.76327755e+03  +7.02567971e+03     41.98      0.592  0  0.000e+00  0.000e+00
     4  1.9893e+01  1.6197e-01  4.5799e-02  1.9893e+01  +5.17084690e+03  +5.66727143e+03     43.96      0.636  0  0.000e+00  0.000e+00
     5  1.5910e+01  1.3549e-01  2.6274e-02  1.5910e+01  +4.64651756e+03  +4.89729590e+03     42.87      0.679  0  0.000e+00  0.000e+00
     6  1.2945e+01  1.1556e-01  3.0921e-02  1.2945e+01  +4.24656052e+03  +4.51758324e+03     42.72      0.722  0  0.000e+00  0.000e+00
     7  1.0774e+01  9.9371e-02  4.8444e-02  1.0774e+01  +3.96367006e+03  +4.36730727e+03     45.45      0.767  0  0.000e+00  0.000e+00
     8  9.1627e+00  8.6873e-02  6.8381e-02  9.1627e+00  +3.77239777e+03  +4.32625730e+03     43.45      0.811  0  0.000e+00  0.000e+00
     9  7.9564e+00  7.7926e-02  8.4032e-02  7.9564e+00  +3.64526133e+03  +4.31419261e+03     42.74      0.853  0  0.000e+00  0.000e+00
    10  7.0481e+00  7.1567e-02  9.3051e-02  7.0481e+00  +3.55872091e+03  +4.28906178e+03     42.41      0.896  0  0.000e+00  0.000e+00
    11  6.3571e+00  6.6695e-02  9.5903e-02  6.3571e+00  +3.49494682e+03  +4.23651308e+03     42.53      0.938  0  0.000e+00  0.000e+00
    12  5.8104e+00  6.2618e-02  9.4332e-02  5.8104e+00  +3.44228185e+03  +4.15946180e+03     43.29      0.982  0  0.000e+00  0.000e+00
    13  5.3626e+00  5.9048e-02  9.0335e-02  5.3626e+00  +3.39407765e+03  +4.06828230e+03     43.31      1.025  0  0.000e+00  0.000e+00
    14  4.9769e+00  5.5877e-02  8.5644e-02  4.9769e+00  +3.34724877e+03  +3.97438656e+03     43.58      1.068  0  0.000e+00  0.000e+00
    15  4.6459e+00  5.3045e-02  8.1480e-02  4.6459e+00  +3.30129764e+03  +3.88708722e+03     43.18      1.112  0  0.000e+00  0.000e+00
    16  4.3504e+00  5.0546e-02  7.8499e-02  4.3504e+00  +3.25675807e+03  +3.81170697e+03     43.14      1.155  0  0.000e+00  0.000e+00
    17  4.0938e+00  4.8282e-02  7.6837e-02  4.0938e+00  +3.21474375e+03  +3.74996708e+03     43.62      1.198  0  0.000e+00  0.000e+00
    18  3.8555e+00  4.6234e-02  7.6277e-02  3.8555e+00  +3.17600587e+03  +3.70061157e+03     43.11      1.242  0  0.000e+00  0.000e+00
    19  3.6630e+00  4.4388e-02  7.6471e-02  3.6630e+00  +3.14073170e+03  +3.66093706e+03     42.55      1.284  0  0.000e+00  0.000e+00
    20  3.4839e+00  4.2682e-02  7.7030e-02  3.4839e+00  +3.10927775e+03  +3.62835792e+03     42.41      1.326  0  0.000e+00  0.000e+00
    25  2.8675e+00  3.6191e-02  7.6078e-02  2.8675e+00  +2.99234023e+03  +3.48521658e+03     43.12      1.541  0  0.000e+00  0.000e+00
    50  1.6678e+00  2.1942e-02  6.2994e-02  1.6678e+00  +2.69566071e+03  +3.05817954e+03     42.84      2.624  0  0.000e+00  0.000e+00
    75  1.2398e+00  1.6506e-02  5.6630e-02  1.2398e+00  +2.56192426e+03  +2.86956518e+03     42.51      3.701  0  0.000e+00  0.000e+00
# track it=100 fired=0 fired_exact=0 k_ritz=350 k_ritz_pos=0 k_ritz_neg=350 k_exact=621 k_exact_pos=16 k_exact_neg=605 pairs=350 eig_err=2.260e-02 s1_ritz=2.497755e+01 s1_exact=2.497757e+01 ckpt_ms=360.3
   100  1.0122e+00  1.3550e-02  5.2101e-02  1.0122e+00  +2.48041517e+03  +2.75313918e+03     42.94      4.783  0  0.000e+00  0.000e+00
   125  8.7706e-01  1.1610e-02  4.8510e-02  8.7706e-01  +2.42402593e+03  +2.67124375e+03     42.90      5.865  0  0.000e+00  0.000e+00
   150  7.6788e-01  1.0286e-02  4.5850e-02  7.6788e-01  +2.38174380e+03  +2.61069409e+03     43.92      6.949  0  0.000e+00  0.000e+00
   175  6.8478e-01  9.3013e-03  4.3746e-02  6.8478e-01  +2.34832309e+03  +2.56322858e+03     42.49      8.032  0  0.000e+00  0.000e+00
# track it=200 fired=0 fired_exact=0 k_ritz=350 k_ritz_pos=0 k_ritz_neg=350 k_exact=411 k_exact_pos=1 k_exact_neg=410 pairs=350 eig_err=1.462e-02 s1_ritz=3.651259e+01 s1_exact=3.651261e+01 ckpt_ms=355.4
   200  6.2242e-01  8.5613e-03  4.1695e-02  6.2242e-01  +2.32126038e+03  +2.52329447e+03     42.20      9.110  0  0.000e+00  0.000e+00
   225  5.7095e-01  7.9667e-03  4.0349e-02  5.7095e-01  +2.29854176e+03  +2.49186838e+03     44.01     10.187  0  0.000e+00  0.000e+00
# gate it=250 k=350 kw=175 s1=4.126e+01 s_kw/s1=4.387e-01 fired=0 clipped_neg=0 clipped_pos=0 fired_frac_last250=0.000
   250  5.4545e-01  7.4944e-03  3.9061e-02  5.4545e-01  +2.27922289e+03  +2.46455976e+03     42.76     11.267  0  0.000e+00  0.000e+00
   275  5.1867e-01  7.1338e-03  3.7724e-02  5.1867e-01  +2.26239864e+03  +2.43982499e+03     43.12     12.345  0  0.000e+00  0.000e+00
# track it=300 fired=0 fired_exact=0 k_ritz=326 k_ritz_pos=1 k_ritz_neg=325 k_exact=326 k_exact_pos=1 k_exact_neg=325 pairs=326 eig_err=2.192e-04 s1_ritz=4.559189e+01 s1_exact=4.559191e+01 ckpt_ms=354.5
   300  4.7173e-01  6.8565e-03  3.6828e-02  4.7173e-01  +2.24771648e+03  +2.41964511e+03     42.02     13.420  0  0.000e+00  0.000e+00
   325  4.5955e-01  6.5499e-03  3.5197e-02  4.5955e-01  +2.23468338e+03  +2.39776584e+03     42.52     14.500  0  0.000e+00  0.000e+00
   350  4.4363e-01  6.3361e-03  3.4414e-02  4.4363e-01  +2.22298743e+03  +2.38148192e+03     43.73     15.578  0  0.000e+00  0.000e+00
   375  4.0070e-01  6.1558e-03  3.3357e-02  4.0070e-01  +2.21242064e+03  +2.36514620e+03     43.57     16.657  0  0.000e+00  0.000e+00
# track it=400 fired=0 fired_exact=0 k_ritz=278 k_ritz_pos=1 k_ritz_neg=277 k_exact=278 k_exact_pos=1 k_exact_neg=277 pairs=278 eig_err=1.186e-06 s1_ritz=5.338259e+01 s1_exact=5.338262e+01 ckpt_ms=354.2
   400  4.1576e-01  5.9918e-03  3.2630e-02  4.1576e-01  +2.20283947e+03  +2.35147853e+03     42.10     17.738  0  0.000e+00  0.000e+00
   425  3.6884e-01  5.8572e-03  3.1999e-02  3.6884e-01  +2.19411616e+03  +2.33920881e+03     42.82     18.816  0  0.000e+00  0.000e+00
   450  3.5451e-01  5.7175e-03  3.1320e-02  3.5451e-01  +2.18604462e+03  +2.32744024e+03     43.86     19.894  0  0.000e+00  0.000e+00
   475  3.4422e-01  5.6199e-03  3.0685e-02  3.4422e-01  +2.17863005e+03  +2.31659539e+03     43.64     20.973  0  0.000e+00  0.000e+00
# gate it=500 k=350 kw=175 s1=6.034e+01 s_kw/s1=2.784e-01 fired=0 clipped_neg=0 clipped_pos=0 fired_frac_last250=0.000
# track it=500 fired=0 fired_exact=0 k_ritz=245 k_ritz_pos=1 k_ritz_neg=244 k_exact=245 k_exact_pos=1 k_exact_neg=244 pairs=245 eig_err=1.066e-06 s1_ritz=6.034467e+01 s1_exact=6.034470e+01 ckpt_ms=355.0
   500  3.3988e-01  5.5038e-03  2.9928e-02  3.3988e-01  +2.17159582e+03  +2.30562015e+03     42.21     22.051  0  0.000e+00  0.000e+00
   525  3.3633e-01  5.4010e-03  2.9859e-02  3.3633e-01  +2.16519539e+03  +2.29850859e+03     43.09     23.126  0  0.000e+00  0.000e+00
   550  3.5057e-01  5.3362e-03  2.8634e-02  3.5057e-01  +2.15920439e+03  +2.28653173e+03     42.51     24.204  0  0.000e+00  0.000e+00
   575  3.3481e-01  5.2668e-03  2.8345e-02  3.3481e-01  +2.15363990e+03  +2.27932042e+03     42.95     25.282  0  0.000e+00  0.000e+00
# track it=600 fired=0 fired_exact=0 k_ritz=221 k_ritz_pos=1 k_ritz_neg=220 k_exact=221 k_exact_pos=1 k_exact_neg=220 pairs=221 eig_err=1.097e-06 s1_ritz=6.674176e+01 s1_exact=6.674179e+01 ckpt_ms=354.8
   600  3.2881e-01  5.1929e-03  2.8283e-02  3.2881e-01  +2.14834105e+03  +2.27342823e+03     48.34     26.371  0  0.000e+00  0.000e+00
   625  3.2254e-01  5.1350e-03  2.7780e-02  3.2254e-01  +2.14326575e+03  +2.26577559e+03     42.55     27.446  0  0.000e+00  0.000e+00
   650  2.9232e-01  5.0368e-03  2.6834e-02  2.9232e-01  +2.13850056e+03  +2.25646204e+03     43.73     28.526  0  0.000e+00  0.000e+00
   675  2.7004e-01  5.0015e-03  2.6888e-02  2.7004e-01  +2.13400424e+03  +2.25196155e+03     43.44     29.605  0  0.000e+00  0.000e+00
# track it=700 fired=0 fired_exact=0 k_ritz=203 k_ritz_pos=1 k_ritz_neg=202 k_exact=203 k_exact_pos=1 k_exact_neg=202 pairs=203 eig_err=9.983e-07 s1_ritz=7.269431e+01 s1_exact=7.269433e+01 ckpt_ms=355.3
   700  2.6024e-01  4.9412e-03  2.6467e-02  2.6024e-01  +2.12981302e+03  +2.24564494e+03     42.68     30.683  0  0.000e+00  0.000e+00
   725  2.5436e-01  4.8874e-03  2.5900e-02  2.5436e-01  +2.12575077e+03  +2.23882072e+03     42.95     31.761  0  0.000e+00  0.000e+00
# gate it=750 k=350 kw=175 s1=7.555e+01 s_kw/s1=1.599e-01 fired=0 clipped_neg=0 clipped_pos=0 fired_frac_last250=0.000
   750  2.5142e-01  4.8702e-03  2.6028e-02  2.5142e-01  +2.12187326e+03  +2.23530683e+03     43.22     32.839  0  0.000e+00  0.000e+00
   775  2.4047e-01  4.7692e-03  2.5017e-02  2.4047e-01  +2.11814471e+03  +2.22686964e+03     44.22     33.918  0  0.000e+00  0.000e+00
# track it=800 fired=0 fired_exact=0 k_ritz=187 k_ritz_pos=0 k_ritz_neg=187 k_exact=187 k_exact_pos=0 k_exact_neg=187 pairs=187 eig_err=1.015e-06 s1_ritz=7.831034e+01 s1_exact=7.831036e+01 ckpt_ms=354.9
   800  2.4673e-01  4.7314e-03  2.4577e-02  2.4673e-01  +2.11476326e+03  +2.22135677e+03     42.22     34.990  0  0.000e+00  0.000e+00
   825  2.3638e-01  4.7332e-03  2.4938e-02  2.3638e-01  +2.11123682e+03  +2.21925733e+03     43.66     36.066  0  0.000e+00  0.000e+00
   850  2.3024e-01  4.7032e-03  2.3815e-02  2.3024e-01  +2.10815639e+03  +2.21104335e+03     43.10     37.143  0  0.000e+00  0.000e+00
   875  2.5127e-01  4.6821e-03  2.3890e-02  2.5127e-01  +2.10516425e+03  +2.20823733e+03     42.93     38.222  0  0.000e+00  0.000e+00
# track it=900 fired=0 fired_exact=0 k_ritz=175 k_ritz_pos=0 k_ritz_neg=175 k_exact=175 k_exact_pos=0 k_exact_neg=175 pairs=175 eig_err=9.738e-07 s1_ritz=8.364672e+01 s1_exact=8.364674e+01 ckpt_ms=354.8
   900  2.5976e-01  4.6483e-03  2.3585e-02  2.5976e-01  +2.10210211e+03  +2.20367964e+03     42.20     39.298  0  0.000e+00  0.000e+00
   925  2.6220e-01  2.7234e-03  2.4453e-02  2.6220e-01  +2.09944856e+03  +2.20472214e+03     44.59     40.418  171  0.000e+00  0.000e+00
   950  2.4430e-01  2.6373e-03  2.4086e-02  2.4430e-01  +2.09665934e+03  +2.20017782e+03     45.70     41.539  169  0.000e+00  0.000e+00
   975  2.3571e-01  2.6163e-03  2.4264e-02  2.3571e-01  +2.09421905e+03  +2.19839776e+03     44.41     42.662  166  0.000e+00  0.000e+00
# gate it=1000 k=350 kw=175 s1=8.856e+01 s_kw/s1=6.821e-02 fired=1 clipped_neg=164 clipped_pos=0 fired_frac_last250=0.400
# track it=1000 fired=1 fired_exact=1 k_ritz=164 k_ritz_pos=0 k_ritz_neg=164 k_exact=164 k_exact_pos=0 k_exact_neg=164 pairs=164 eig_err=6.012e-08 s1_ritz=8.856309e+01 s1_exact=8.856309e+01 ckpt_ms=354.5
# deflate it=1000 alpha=1.279e+01 theta=8.856e+00 clipped_neg=164 clipped_pos=0
  1000  2.3221e-01  2.5516e-03  2.3485e-02  2.3221e-01  +2.09170078e+03  +2.19233661e+03     43.95     43.789  164  0.000e+00  0.000e+00
