step,label,seed,fired,k,sv_err
1,attn_q,0,1,1,9.840769925958427e-08
1,attn_q,1,1,1,8.394211937690348e-08
1,attn_q,2,1,1,2.315884649807423e-08
1,attn_q,3,1,1,9.840769925958427e-08
1,attn_q,4,1,1,1.591909721384135e-07
1,attn_q,5,1,1,9.840769925958427e-08
1,attn_q,6,1,1,9.840769925958427e-08
1,attn_q,7,1,1,9.840769925958427e-08
1,attn_q,8,1,1,9.840769925958427e-08
1,attn_q,9,1,1,2.315884649807423e-08
1,attn_q,10,1,1,9.840769925958427e-08
1,attn_q,11,1,1,9.840769925958427e-08
1,attn_q,12,1,1,1.591909721384135e-07
1,attn_q,13,1,1,9.840769925958427e-08
1,attn_q,14,1,1,9.840769925958427e-08
1,attn_q,15,1,1,1.591909721384135e-07
1,attn_q,16,1,1,9.840769925958427e-08
1,attn_q,17,1,1,2.1997424501724276e-07
1,attn_q,18,1,1,2.1997424501724276e-07
1,attn_q,19,1,1,2.315884649807423e-08
1,attn_k,0,1,20,4.776489227115845e-07
1,attn_k,1,1,20,1.3597709518954515e-06
1,attn_k,2,1,20,4.0866412219824015e-07
1,attn_k,3,1,20,7.897340887250469e-07
1,attn_k,4,1,20,6.857878107382077e-07
1,attn_k,5,1,20,7.975538459914868e-07
1,attn_k,6,1,20,6.857878107382077e-07
1,attn_k,7,1,20,7.266566286622625e-07
1,attn_k,8,1,20,7.512166043104452e-07
1,attn_k,9,1,20,4.896302957104812e-07
1,attn_k,10,1,20,2.881427341410596e-07
1,attn_k,11,1,20,5.948036615275125e-07
1,attn_k,12,1,20,6.224861511181276e-07
1,attn_k,13,1,20,6.217883681704887e-07
1,attn_k,14,1,20,5.952672748756462e-07
1,attn_k,15,1,20,3.8521355723976896e-07
1,attn_k,16,1,20,1.2756533563270882e-06
1,attn_k,17,1,20,8.607989391209411e-07
1,attn_k,18,1,20,6.857384377859043e-07
1,attn_k,19,1,20,5.090126434918782e-07
1,attn_v,0,1,1,5.682462187665126e-08
1,attn_v,1,1,1,5.682462187665126e-08
1,attn_v,2,1,1,4.598837833551589e-08
